temperature, rainfall, humudity, yeild_apples
25.00 76.00 99.00 474.00
39.00 65.00 70.00 379.00
59.00 45.00 77.00 380.00
84.00 63.00 38.00 324.00
66.00 50.00 52.00 322.00
41.00 94.00 77.00 460.00
91.00 57.00 96.00 493.00
49.00 96.00 99.00 538.00
67.00 20.00 28.00 191.00
85.00 31.00 95.00 432.00
78.00 46.00 34.00 272.00
31.00 40.00 63.00 300.00
52.00 77.00 85.00 461.00
28.00 66.00 77.00 391.00
32.00 50.00 57.00 303.00
31.00 79.00 53.00 348.00
45.00 76.00 48.00 341.00
80.00 52.00 27.00 265.00
24.00 45.00 90.00 384.00
20.00 89.00 84.00 450.00
32.00 20.00 96.00 360.00
56.00 44.00 74.00 366.00
93.00 70.00 80.00 473.00
62.00 87.00 73.00 455.00
85.00 48.00 90.00 451.00
87.00 86.00 93.00 538.00
43.00 57.00 69.00 364.00
28.00 71.00 44.00 302.00
44.00 95.00 58.00 408.00
88.00 48.00 46.00 322.00
80.00 50.00 38.00 294.00
27.00 75.00 89.00 444.00
93.00 61.00 73.00 434.00
31.00 87.00 62.00 391.00
38.00 94.00 44.00 358.00
55.00 93.00 55.00 406.00
56.00 22.00 47.00 241.00
38.00 64.00 79.00 403.00
26.00 22.00 40.00 190.00
27.00 98.00 24.00 295.00
55.00 37.00 38.00 243.00
63.00 69.00 46.00 339.00
21.00 34.00 21.00 152.00
31.00 89.00 85.00 464.00
45.00 69.00 91.00 456.00
48.00 86.00 77.00 451.00
27.00 51.00 27.00 210.00
40.00 47.00 88.00 398.00
29.00 45.00 69.00 326.00
35.00 55.00 85.00 400.00
62.00 43.00 58.00 322.00
67.00 95.00 54.00 419.00
35.00 46.00 55.00 292.00
36.00 75.00 28.00 270.00
97.00 62.00 87.00 482.00
29.00 52.00 25.00 208.00
31.00 26.00 72.00 299.00
94.00 100.00 59.00 471.00
47.00 52.00 76.00 379.00
46.00 52.00 70.00 360.00
40.00 68.00 72.00 392.00
35.00 27.00 84.00 341.00
69.00 96.00 29.00 348.00
69.00 57.00 52.00 339.00
33.00 45.00 71.00 336.00
88.00 95.00 82.00 524.00
48.00 90.00 69.00 435.00
55.00 78.00 66.00 409.00
28.00 44.00 67.00 317.00
34.00 58.00 27.00 231.00
62.00 46.00 89.00 421.00
92.00 78.00 89.00 515.00
20.00 69.00 70.00 368.00
88.00 49.00 65.00 381.00
56.00 83.00 36.00 330.00
51.00 67.00 54.00 347.00
47.00 50.00 71.00 360.00
32.00 94.00 71.00 433.00
33.00 21.00 96.00 363.00
100.00 81.00 69.00 469.00
31.00 58.00 22.00 213.00
74.00 96.00 33.00 365.00
79.00 98.00 99.00 572.00
49.00 76.00 38.00 315.00
78.00 51.00 79.00 417.00
28.00 51.00 62.00 316.00
43.00 49.00 55.00 306.00
73.00 62.00 50.00 347.00
41.00 59.00 78.00 393.00
44.00 31.00 52.00 262.00
29.00 97.00 29.00 310.00
38.00 75.00 60.00 368.00
68.00 60.00 29.00 275.00
46.00 71.00 37.00 299.00
44.00 39.00 49.00 269.00
25.00 78.00 31.00 274.00
52.00 84.00 47.00 361.00
20.00 98.00 71.00 429.00
99.00 47.00 67.00 394.00
68.00 83.00 94.00 516.00
38.00 90.00 20.00 278.00
99.00 67.00 43.00 362.00
53.00 71.00 39.00 312.00
85.00 30.00 49.00 292.00
90.00 20.00 43.00 259.00
62.00 67.00 38.00 310.00
81.00 81.00 78.00 477.00
23.00 69.00 65.00 356.00
86.00 66.00 22.00 284.00
58.00 89.00 76.00 464.00
28.00 51.00 88.00 394.00
98.00 33.00 76.00 392.00
41.00 22.00 84.00 337.00
52.00 69.00 60.00 370.00
46.00 68.00 38.00 296.00
87.00 35.00 54.00 319.00
